,일자,지역,사망자,확진자,전일대비,격리해제,격리중,지역발생,해외유입,10만명당
132,2020-03-11,충북,0,27,2,0,0,0,0,1.69
133,2020-03-11,강원,1,29,1,0,0,0,0,1.88
134,2020-03-11,경기,1,175,12,0,0,0,0,1.32
135,2020-03-11,세종,0,10,2,0,0,0,0,2.92
136,2020-03-11,울산,0,25,1,0,0,0,0,2.18
137,2020-03-11,대전,0,18,0,0,0,0,0,1.22
138,2020-03-11,광주,0,15,0,0,0,0,0,1.03
139,2020-03-11,인천,0,25,12,0,0,0,0,0.85
140,2020-03-11,대구,43,5794,131,0,0,0,0,237.8
141,2020-03-11,부산,1,98,2,0,0,0,0,2.87
142,2020-03-11,서울,0,193,52,0,0,0,0,1.98
143,2020-03-11,합계,60,7755,242,0,0,0,0,14.96
144,2020-03-12,제주,0,4,0,0,0,0,0,0.6
145,2020-03-12,경남,0,85,1,0,0,0,0,2.53
146,2020-03-12,경북,16,1143,8,0,0,0,0,42.93
147,2020-03-12,전남,0,4,0,0,0,0,0,0.21
148,2020-03-12,전북,0,7,0,0,0,0,0,0.39
149,2020-03-12,충남,0,114,2,0,0,0,0,5.37
150,2020-03-12,충북,0,27,0,0,0,0,0,1.69
151,2020-03-12,강원,1,29,0,0,0,0,0,1.88
152,2020-03-12,경기,1,178,3,0,0,0,0,1.34
153,2020-03-12,세종,0,15,5,0,0,0,0,4.38
154,2020-03-12,울산,0,25,0,0,0,0,0,2.18
155,2020-03-12,대전,0,20,2,0,0,0,0,1.36
156,2020-03-12,광주,0,15,0,0,0,0,0,1.03
157,2020-03-12,인천,0,25,0,0,0,0,0,0.85
158,2020-03-12,대구,48,5867,73,0,0,0,0,240.8
159,2020-03-12,부산,0,99,1,0,0,0,0,2.9
160,2020-03-12,서울,0,212,19,0,0,0,0,2.18
161,2020-03-12,합계,66,7869,114,0,0,0,0,15.18
162,2020-03-13,제주,0,4,0,0,0,0,0,0.6
163,2020-03-13,경남,0,85,0,0,0,0,0,2.53
164,2020-03-13,경북,16,1147,4,0,0,0,0,43.08
165,2020-03-13,전남,0,4,0,0,0,0,0,0.21
166,2020-03-13,전북,0,7,0,0,0,0,0,0.39
167,2020-03-13,충남,0,115,1,0,0,0,0,5.42
168,2020-03-13,충북,0,27,0,0,0,0,0,1.69
169,2020-03-13,강원,1,29,0,0,0,0,0,1.88
170,2020-03-13,경기,2,185,7,0,0,0,0,1.4
171,2020-03-13,세종,0,32,17,0,0,0,0,9.35
172,2020-03-13,울산,0,27,2,0,0,0,0,2.35
173,2020-03-13,대전,0,22,2,0,0,0,0,1.49
174,2020-03-13,광주,0,15,0,0,0,0,0,1.03
175,2020-03-13,인천,0,27,2,0,0,0,0,0.91
176,2020-03-13,대구,48,5928,61,0,0,0,0,243.3
177,2020-03-13,부산,0,100,1,0,0,0,0,2.93
178,2020-03-13,서울,0,225,13,0,0,0,0,2.31
179,2020-03-13,합계,67,7979,110,0,0,0,0,15.39
180,2020-03-14,제주,0,4,0,0,0,0,0,0.6
181,2020-03-14,경남,0,85,0,0,0,0,0,2.53
182,2020-03-14,경북,17,1153,6,0,0,0,0,43.31
183,2020-03-14,전남,0,4,0,0,0,0,0,0.21
184,2020-03-14,전북,0,7,0,0,0,0,0,0.39
185,2020-03-14,충남,0,115,0,0,0,0,0,5.42
186,2020-03-14,충북,0,28,1,0,0,0,0,1.75
187,2020-03-14,강원,1,29,0,0,0,0,0,1.88
188,2020-03-14,경기,3,200,15,0,0,0,0,1.51
189,2020-03-14,세종,0,38,6,0,0,0,0,11.1
190,2020-03-14,울산,0,27,0,0,0,0,0,2.35
191,2020-03-14,대전,0,22,0,0,0,0,0,1.49
192,2020-03-14,광주,0,15,0,0,0,0,0,1.03
193,2020-03-14,인천,0,28,1,0,0,0,0,0.95
194,2020-03-14,대구,51,5990,62,0,0,0,0,245.85
195,2020-03-14,부산,0,103,3,0,0,0,0,3.02
196,2020-03-14,서울,0,238,13,0,0,0,0,2.45
197,2020-03-14,합계,72,8086,107,0,0,0,0,15.6
198,2020-03-15,제주,0,4,0,0,0,0,0,0.6
199,2020-03-15,경남,0,85,0,0,0,0,0,2.53
200,2020-03-15,경북,17,1157,4,0,0,0,0,43.46
201,2020-03-15,전남,0,4,0,0,0,0,0,0.21
202,2020-03-15,전북,0,7,0,0,0,0,0,0.39
203,2020-03-15,충남,0,115,0,0,0,0,0,5.42
204,2020-03-15,충북,0,31,3,0,0,0,0,1.94
205,2020-03-15,강원,1,29,0,0,0,0,0,1.88
206,2020-03-15,경기,3,211,11,0,0,0,0,1.59
207,2020-03-15,세종,0,39,1,0,0,0,0,11.39
208,2020-03-15,울산,0,28,1,0,0,0,0,2.44
209,2020-03-15,대전,0,22,0,0,0,0,0,1.49
210,2020-03-15,광주,0,16,1,0,0,0,0,1.1
211,2020-03-15,인천,0,30,2,0,0,0,0,1.01
212,2020-03-15,대구,53,6031,41,0,0,0,0,247.53
213,2020-03-15,부산,1,106,3,0,0,0,0,3.11
214,2020-03-15,서울,0,247,9,0,0,0,0,2.54
215,2020-03-15,합계,75,8162,76,0,0,0,0,15.74
216,2020-03-16,검역,0,4,4,0,0,0,0,0.0
217,2020-03-16,제주,0,4,0,0,0,0,0,0.6
218,2020-03-16,경남,0,85,0,0,0,0,0,2.53
219,2020-03-16,경북,17,1164,7,0,0,0,0,43.72
220,2020-03-16,전남,0,4,0,0,0,0,0,0.21
221,2020-03-16,전북,0,7,0,0,0,0,0,0.39
222,2020-03-16,충남,0,115,0,0,0,0,0,5.42
223,2020-03-16,충북,0,31,0,0,0,0,0,1.94
224,2020-03-16,강원,1,29,0,0,0,0,0,1.88
225,2020-03-16,경기,3,231,20,0,0,0,0,1.74
226,2020-03-16,세종,0,40,1,0,0,0,0,11.68
227,2020-03-16,울산,0,28,0,0,0,0,0,2.44
228,2020-03-16,대전,0,22,0,0,0,0,0,1.49
229,2020-03-16,광주,0,16,0,0,0,0,0,1.1
230,2020-03-16,인천,0,30,0,0,0,0,0,1.01
231,2020-03-16,대구,53,6066,35,0,0,0,0,248.96
232,2020-03-16,부산,1,107,1,0,0,0,0,3.14
233,2020-03-16,서울,0,253,6,0,0,0,0,2.6
234,2020-03-16,합계,75,8236,74,0,0,0,0,15.74
235,2020-03-17,검역,0,6,2,0,0,0,0,0.0
236,2020-03-17,제주,0,4,0,0,0,0,0,0.6
237,2020-03-17,경남,0,86,1,0,0,0,0,2.56
238,2020-03-17,경북,19,1169,5,0,0,0,0,43.91
239,2020-03-17,전남,0,4,0,0,0,0,0,0.21
240,2020-03-17,전북,0,7,0,0,0,0,0,0.39
241,2020-03-17,충남,0,115,0,0,0,0,0,5.42
242,2020-03-17,충북,0,31,0,0,0,0,0,1.94
243,2020-03-17,강원,1,29,0,0,0,0,0,1.88
244,2020-03-17,경기,3,262,31,0,0,0,0,1.98
245,2020-03-17,세종,0,40,0,0,0,0,0,11.68
246,2020-03-17,울산,0,28,0,0,0,0,0,2.44
247,2020-03-17,대전,0,22,0,0,0,0,0,1.49
248,2020-03-17,광주,0,16,0,0,0,0,0,1.1
249,2020-03-17,인천,0,31,1,0,0,0,0,1.05
250,2020-03-17,대구,57,6098,32,0,0,0,0,250.28
251,2020-03-17,부산,1,107,0,0,0,0,0,3.14
252,2020-03-17,서울,0,265,12,0,0,0,0,2.72
253,2020-03-17,합계,81,8320,84,0,0,0,0,16.05
254,2020-03-18,검역,0,11,5,0,0,0,0,0.0
255,2020-03-18,제주,0,4,0,0,0,0,0,0.6
256,2020-03-18,경남,0,86,0,0,0,0,0,2.56
257,2020-03-18,경북,21,1178,9,0,0,0,0,44.24
258,2020-03-18,전남,0,5,1,0,0,0,0,0.27
259,2020-03-18,전북,0,9,2,0,0,0,0,0.5
260,2020-03-18,충남,0,118,3,0,0,0,0,5.56
261,2020-03-18,충북,0,32,1,0,0,0,0,2.0
262,2020-03-18,강원,1,30,1,0,0,0,0,1.95
263,2020-03-18,경기,3,277,15,0,0,0,0,2.09
264,2020-03-18,세종,0,41,1,0,0,0,0,11.98
265,2020-03-18,울산,0,30,2,0,0,0,0,2.62
266,2020-03-18,대전,0,22,0,0,0,0,0,1.49
267,2020-03-18,광주,0,17,1,0,0,0,0,1.17
268,2020-03-18,인천,0,32,1,0,0,0,0,1.08
269,2020-03-18,대구,58,6144,46,0,0,0,0,252.17
270,2020-03-18,부산,1,107,0,0,0,0,0,3.14
271,2020-03-18,서울,0,270,5,0,0,0,0,2.77
272,2020-03-18,합계,84,8413,93,0,0,0,0,16.23
273,2020-03-19,검역,0,16,5,0,0,0,0,0.0
274,2020-03-19,제주,0,4,0,0,0,0,0,0.6
275,2020-03-19,경남,0,86,0,0,0,0,0,2.56
