,이름,주소,가격,셀프,상표,구,lat,lng,거리
122,현대오일뱅크㈜직영 효진주유소,서울 성동구 동일로 129,1508.0,N,현대오일뱅크,성동구,37.5441143795743,127.064645129354,14.321207208992579
123,금호주유소,서울 성동구 금호로 39 (금호동4가),1595.0,N,GS칼텍스,성동구,37.5470409999369,127.025032153735,10.887808958473125
124,동일주유소,서울 성동구 광나루로 254 (성수동2가),1685.0,N,현대오일뱅크,성동구,37.5485761967423,127.057911486572,13.78321886871757
125,청계로주유소,서울 성동구 청계천로 454 (하왕십리동),1698.0,N,SK에너지,성동구,37.5700413114581,127.027391824017,11.730290374780829
126,(주)옥수하이웨이스테이션,서울 성동구 독서당로 168 (옥수동),1705.0,N,GS칼텍스,성동구,37.5408496346983,127.011382906693,9.6115356033732
127,원천주유소,서울 성북구 돌곶이로 142 (장위동),1315.0,N,알뜰주유소,성북구,37.6149596653136,127.052767760078,16.055977902052156
128,강산제2주유소,서울 성북구 보국문로 52,1317.0,Y,현대오일뱅크,성북구,37.6091774896632,127.010120328789,12.699830888381072
129,(주)삼표에너지 정릉주유소,서울 성북구 보국문로 35 (정릉동),1317.0,Y,GS칼텍스,성북구,37.6076158170175,127.00997322889,12.574905296482758
130,이케이에너지㈜ 강산주유소,서울 성북구 보문로 27 (보문동7가),1317.0,Y,GS칼텍스,성북구,37.5779480661943,127.022800763795,11.700095166105884
131,㈜명연에너지 효성주유소,서울 성북구 화랑로 27,1327.0,N,GS칼텍스,성북구,37.6031889817123,127.035329356198,14.049922943807804
132,(주)신용 구도일주유소화랑로,서울 성북구 화랑로 174,1327.0,Y,S-OIL,성북구,37.6069071610892,127.050090586822,15.365569798564524
133,장위주유소,서울 성북구 화랑로 110 (하월곡동),1329.0,Y,S-OIL,성북구,37.6034637786359,127.043444018874,14.666060440114114
134,신방주유소,서울 성북구 안암로 111 (안암동5가),1342.0,N,S-OIL,성북구,37.585570267124,127.03185811318,12.790888237832306
135,우리주유소,서울 성북구 화랑로 292 (석관동),1344.0,Y,SK에너지,성북구,37.6126157123372,127.061400134261,16.546830182159653
136,중앙에너비스 종암지점,서울 성북구 종암로 58,1347.0,Y,SK에너지,성북구,37.5957774048863,127.036011599387,13.661057340540292
137,(주)성북주유소,서울 성북구 보문로 142,1357.0,N,현대오일뱅크,성북구,37.5876710055984,127.018389424981,11.865821433782267
138,삼선주유소,서울 성북구 창경궁로 324,1357.0,Y,S-OIL,성북구,37.58798513267,127.005541114305,10.928646669494922
139,재정제2주유소 길음지점,서울 성북구 삼양로 78 (길음동),1359.0,N,현대오일뱅크,성북구,37.6102988135483,127.022752309268,13.627421407927306
140,GS칼텍스(주) 종암주유소,서울 성북구 종암로 145 (종암동),1369.0,Y,GS칼텍스,성북구,37.6027851035284,127.03204755082,13.785121311440665
141,지에스칼텍스㈜ 화랑주유소,서울 성북구 화랑로 185,1377.0,N,GS칼텍스,성북구,37.6078690506394,127.050739603739,15.471186190824316
142,현대오일뱅크㈜직영 고대셀프주유소,서울 성북구 종암로 12 (종암동),1380.0,Y,현대오일뱅크,성북구,37.5914409003495,127.036697935025,13.474034390343958
143,현대오일뱅크㈜직영 광덕셀프주유소,서울 성북구 보문로 89 (보문동5가),1387.0,Y,현대오일뱅크,성북구,37.5831161260631,127.020045209406,11.742640394132318
144,현대오일뱅크㈜직영 북악셀프주유소,서울 성북구 정릉로 218 (정릉동),1389.0,Y,현대오일뱅크,성북구,37.6054307579856,127.008551321932,12.320851942533215
145,현대오일뱅크(주)직영 장삼주유소,서울 성북구 한천로 612 (장위동),1389.0,Y,현대오일뱅크,성북구,37.6136383135999,127.060216713088,16.520254163242885
146,현대오일뱅크㈜직영 아리랑주유소,서울 성북구 아리랑로 96 (정릉동),1409.0,N,현대오일뱅크,성북구,37.6005363027457,127.014211710411,12.364322166503447
147,SK에너지(주) 드림랜드주유소,서울 성북구 월계로 128 (장위동),1414.0,N,SK에너지,성북구,37.6166166995599,127.041411636405,15.35380489718866
148,지에스칼텍스㈜ 세창주유소,서울 성북구 동소문로 323,1418.0,Y,GS칼텍스,성북구,37.6088083513732,127.029473489653,13.991307094117513
149,동일주유소,서울특별시 성북구  보문로 85 (보문동5가),1425.0,N,GS칼텍스,성북구,37.5829579453996,127.020374169754,11.759841728925029
150,삼전셀프주유소,서울 송파구 백제고분로 199,1342.0,Y,SK에너지,송파구,37.5043421445766,127.089041736764,16.72743004405018
151,지에스이앤알 직영 송파제일주유소,서울 송파구 삼학사로 50 (석촌동),1342.0,Y,현대오일뱅크,송파구,37.501693668377,127.097232908506,17.49360881785003
152,방이주유소,서울 송파구 위례성대로12길 38 (방이동),1347.0,N,SK에너지,송파구,37.510697303932,127.120691625554,19.371532181736843
153,아시아주유소,서울 송파구 도곡로 438 (잠실동),1347.0,Y,GS칼텍스,송파구,37.5046106505557,127.077393903247,15.714046792858344
154,(주)뉴명성산업 남성주유소,서울 송파구 백제고분로 474 (방이동),1347.0,N,현대오일뱅크,송파구,37.5126146696919,127.114042344325,18.762969654328337
155,삼정주유소,서울 송파구 백제고분로 252 (삼전동),1347.0,Y,GS칼텍스,송파구,37.502383423532,127.094299487454,17.224753812663728
156,백제고분로주유소,서울 송파구 오금로 143 (방이동),1347.0,Y,SK에너지,송파구,37.5110669836967,127.111049573145,18.522974813704028
157,삼화주유소,서울 송파구 백제고분로 125,1347.0,Y,GS칼텍스,송파구,37.5066508882331,127.080887734191,15.972783871588756
159,상아주유소,서울 송파구 거마로 82 (마천동),1363.0,Y,현대오일뱅크,송파구,37.5001269475186,127.147837632763,21.914399355601887
160,지에스칼텍스(주)우리주유소,서울 송파구 동남로 153,1375.0,N,GS칼텍스,송파구,37.4924714993498,127.127383321556,20.310231545293384
161,한강에너지(주)퍼스트주유소,서울 송파구 삼학사로 22 (석촌동),1379.0,Y,SK에너지,송파구,37.499307755111,127.097184353139,17.54429621159263
162,(주)잠실에너지,서울 송파구 송파대로 442 (송파동),1383.0,Y,S-OIL,송파구,37.5063758984326,127.106656298253,18.216758567968654
163,대성주유소,서울 송파구 마천로 230 (마천동),1388.0,N,SK에너지,송파구,37.5000478635493,127.143135663709,21.50709834857339
164,대성석유(주)석촌주유소,서울 송파구 백제고분로 289,1388.0,N,GS칼텍스,송파구,37.5028882169283,127.09854306751,17.581017008908155
165,(주)삼표에너지 훼미리주유소,서울 송파구 중대로 58 (문정동),1388.0,N,GS칼텍스,송파구,37.491231007616,127.115353624591,19.309789496802185
166,지에스칼텍스(주)스마트위례주유소,서울 송파구 위례중앙로 43 (장지동),1393.0,Y,GS칼텍스,송파구,37.4753528139164,127.132288546135,21.22911537888458
167,완불주유소,서울 송파구 송파대로 3 (장지동),1393.0,Y,SK에너지,송파구,37.4711645321762,127.126135074857,20.861409348308847
168,남성대주유소,서울 송파구 송파대로 52 (장지동),1395.0,Y,SK에너지,송파구,37.4753715575202,127.127533028931,20.828895179642785
169,(주)유진주유소,서울 송파구 동남로 325 (오금동),1397.0,N,SK에너지,송파구,37.5045223318768,127.138382736122,21.012980069278946
170,(주)남경석유 세영주유소,서울 송파구 동남로 298,1399.0,N,GS칼텍스,송파구,37.5019781108768,127.13804328656,21.028181622271884
171,현대오일뱅크㈜직영 잠실셀프주유소,서울 송파구 송파대로 397 (석촌동),1406.0,Y,현대오일뱅크,송파구,37.5027344100674,127.109010365586,18.491318095079055
172,지에스칼텍스(주)가든파이브주유소,서울 송파구 탄천동로 740,1407.0,Y,GS칼텍스,송파구,37.4758375513871,127.12364117535,20.486293823452794
173,제트라인DM주유소,서울 송파구 중대로 183 (가락동),1417.0,N,현대오일뱅크,송파구,37.4985459828951,127.125371637464,19.99639569850155
174,송파주유소,서울 송파구 송이로 28 (송파동),1417.0,Y,GS칼텍스,송파구,37.5025530777453,127.116428012121,19.138587580269125
175,(주)퍼스트오일서울주유소,서울 송파구 문정로 153 (가락동),1418.0,N,S-OIL,송파구,37.4932142265767,127.136397908655,21.06875260236687
176,(주)정직한주유소,서울 송파구 오금로 455 (거여동),1418.0,Y,현대오일뱅크,송파구,37.4955776534144,127.140323807598,21.354460374879512
177,(주)신화에너지 서울지점,서울 송파구 가락로 47 (석촌동),1419.0,Y,SK에너지,송파구,37.4995184526258,127.101735773908,17.93181187340766
178,송파알찬주유소,서울 송파구 백제고분로 229 (삼전동),1438.0,N,S-OIL,송파구,37.5035637666863,127.092211995022,17.0184990859027
179,현대오일뱅크㈜직영 거여셀프주유소,서울 송파구 거마로 5 (거여동),1439.0,Y,현대오일뱅크,송파구,37.4937594895595,127.144233543455,21.73268684550764
180,현대오일뱅크㈜직영 서원주유소,서울 송파구 중대로 154 (가락동),1450.0,N,현대오일뱅크,송파구,37.4957794385955,127.12478101547,20.006871966014025
181,현대오일뱅크㈜직영 올림픽셀프주유소,서울 송파구 위례성대로 188 (오금동),1452.0,Y,현대오일뱅크,송파구,37.5097379558053,127.131862743873,20.362422375075475
182,대신석유(주)진양주유소,서울 송파구 올림픽로 499 (풍납동),1659.0,N,SK에너지,송파구,37.5270124361515,127.118061832225,18.99052794578382
183,현대주유소,서울 양천구 남부순환로 372 (신월동),1316.0,Y,S-OIL,양천구,37.5339097605129,126.829178494291,6.495671825904087
184,개나리Self주유소,서울 양천구 남부순환로 442 (신월동),1325.0,Y,SK에너지,양천구,37.5282624685753,126.832956410977,6.183697061150745
185,형산석유(주)원주유소,서울 양천구 남부순환로 408,1325.0,N,현대오일뱅크,양천구,37.5311594818326,126.831011469112,6.336313599089916
186,신월주유소,서울 양천구 신월로 193 (신월동),1328.0,Y,GS칼텍스,양천구,37.5200481885681,126.844071320155,5.376391005192722
187,지에스이앤알 직영 서울주유소,서울 양천구 신정로 236 (신정동),1335.0,N,GS칼텍스,양천구,37.5105676390045,126.847718788496,5.459856769213124
188,(주)블루에너지,서울 양천구 중앙로 226 (신정동),1335.0,Y,SK에너지,양천구,37.5167468205193,126.854738127061,4.607458734133618
189,지에스칼텍스㈜ 서호주유소,서울 양천구 남부순환로 317,1339.0,Y,GS칼텍스,양천구,37.5385828916235,126.82701689593,6.7146283603889625
190,양천구주유소,서울 양천구 국회대로 275 (목동),1347.0,Y,알뜰주유소,양천구,37.5303725461437,126.865511835584,3.3033310937433478
191,가로공원주유소,서울 양천구 가로공원로 165 (신월동),1359.0,N,SK에너지,양천구,37.5370203692233,126.834298807985,6.060219652839915
192,지에스칼텍스㈜ 건지주유소,서울 양천구 안양천로 1171 (목동),1365.0,Y,GS칼텍스,양천구,37.545315926725,126.882152598122,2.285081038228524
193,현대오일뱅크(주)직영 남부순환셀프주유소,서울 양천구 남부순환로 553 (신월동),1369.0,Y,현대오일뱅크,양천구,37.5197288998681,126.838723252685,5.841151735034255
194,(주)삼표에너지 목동주유소,서울 양천구 목동서로 129 (목동),1375.0,N,GS칼텍스,양천구,37.5321638279811,126.875540347599,2.4082292322678565
195,목동주유소,서울 양천구 목동중앙로 125 (목동),1375.0,Y,SK에너지,양천구,37.5396005386844,126.874552753564,2.601612539572835
196,현대오일뱅크㈜직영 목동셀프주유소,서울 양천구 공항대로 648 (목동),1378.0,Y,현대오일뱅크,양천구,37.5467672087448,126.87698319379,2.7499111876643694
197,신정동주유소,서울 양천구 안양천로 663 (신정동),1378.0,Y,현대오일뱅크,양천구,37.5063816783679,126.871124793176,4.066460043436698
198,현대오일뱅크(주) 양천주유소,서울 양천구 안양천로 1179 (목동),1379.0,N,현대오일뱅크,양천구,37.5458594189461,126.88144235004,2.371492762051758
199,현대오일뱅크(주)직영 양천셀프주유소,서울 양천구 목동로 17 (신정동),1389.0,Y,현대오일뱅크,양천구,37.5104731119583,126.871265587745,3.7399439051030403
200,SK에너지(주) 신평,서울 양천구 목동남로 62 (신정동),1394.0,N,SK에너지,양천구,37.5093947016961,126.866239301006,4.155155858841527
201,양정주유소,서울 양천구 국회대로 158 (신정동),1395.0,N,현대오일뱅크,양천구,37.5280498776111,126.852547021219,4.467452583309212
202,대농self주유소,서울 양천구 중앙로 331 (신월동),1397.0,Y,SK에너지,양천구,37.5254885041362,126.849753276346,4.753391251927026
203,SK에너지(주) 경인주유소,서울 양천구 국회대로 170 (신정동),1399.0,Y,SK에너지,양천구,37.5281136827651,126.854009012994,4.338632563334176
204,(주)서부트럭터미날,서울 양천구 신정로 167 (신정동),1399.0,N,현대오일뱅크,양천구,37.5093449690455,126.841883881962,5.981007948111481
205,현대오일뱅크(주)직영 신목동셀프주유소,서울 양천구 목동동로10길 13,1399.0,Y,현대오일뱅크,양천구,37.5194893296515,126.871071371587,3.1748663386986786
206,신양주유소,서울 양천구 지양로 67,1459.0,N,SK에너지,양천구,37.5215294915741,126.833868932502,6.212416674768579
207,현대오일뱅크㈜직영 코리아주유소,서울 양천구 신목로7길 1,1599.0,N,현대오일뱅크,양천구,37.5195983978225,126.871942653616,3.1014721118462525
208,평화주유소,서울 양천구 안양천로 657 (신정동),1677.0,N,SK에너지,양천구,37.5058610602272,126.870696366659,4.134497545123108
209,행촌주유소,서울 영등포구 도신로 130 (신길동),1319.0,N,SK에너지,영등포구,37.508496518797,126.905985305925,2.7311967756816493
210,(주)강서오일,서울 영등포구 도신로 151,1319.0,N,현대오일뱅크,영등포구,37.5100148716917,126.908251942382,2.5925973070560344
211,매봉주유소,서울 영등포구 도신로 248 (신길동),1329.0,Y,현대오일뱅크,영등포구,37.5130406356457,126.918333173452,2.6000195513085083
212,(주)MS주유소,서울 영등포구 대림로 230,1329.0,N,현대오일뱅크,영등포구,37.5013096818947,126.897465178935,3.5479013354967717
213,(주)대청에너지 대청주유소,서울 영등포구 가마산로 328 (대림동),1329.0,N,GS칼텍스,영등포구,37.4985849503891,126.895817488746,3.8689513145912624
214,도림주유소,서울 영등포구 도림로 343 (도림동),1329.0,Y,알뜰주유소,영등포구,37.5077698456731,126.90025684474,2.807039502607902
215,지에스칼텍스㈜ 신길주유소,서울 영등포구 신길로 74 (신길동),1339.0,Y,GS칼텍스,영등포구,37.4990627621518,126.908792674047,3.8024996120381847
