,이름,주소,가격,셀프,상표,구
412,(주)태영유업 독산고개,서울 금천구 시흥대로 484,1374.0,Y,현대오일뱅크,금천구
413,현대오일뱅크(주)직영 금천현대셀프주유소,서울 금천구 독산로 147 (시흥동),1375.0,Y,현대오일뱅크,금천구
414,지에스칼텍스(주)일신주유소,서울 금천구 시흥대로 118,1375.0,Y,GS칼텍스,금천구
415,대득에너지(금천셀프주유소),서울 금천구  시흥대로 81 (시흥동),1375.0,Y,GS칼텍스,금천구
416,남서울경복에너지,서울 금천구 독산로 257 (독산동),1375.0,Y,S-OIL,금천구
417,백산주유소,서울특별시 금천구  시흥대로 174 (시흥동),1375.0,Y,S-OIL,금천구
418,KH에너지(주)직영시흥대로주유소,서울 금천구 시흥대로 221 (시흥동),1385.0,N,SK에너지,금천구
419,SK에너지(주) 박미주유소,서울 금천구 시흥대로 39-7 (시흥동),1405.0,N,SK에너지,금천구
420,SK에너지(주) 이가주유소,서울 금천구 시흥대로 441,1420.0,N,SK에너지,금천구
421,현대오일뱅크㈜직영 금천제일주유소,서울 금천구 남부순환로 1410 (독산동),1422.0,N,현대오일뱅크,금천구
422,배꽃나라주유소,서울 노원구 화랑로 466 (공릉동),1345.0,Y,GS칼텍스,노원구
423,월계주유소,서울 노원구 월계로 252 (월계동),1369.0,Y,GS칼텍스,노원구
424,삼육주유소,서울 노원구 화랑로 822 (공릉동),1370.0,Y,SK에너지,노원구
425,태릉솔밭주유소,서울 노원구 노원로 49 (공릉동),1384.0,Y,S-OIL,노원구
426,화랑대주유소,서울 노원구 화랑로 483,1398.0,Y,SK에너지,노원구
427,성북역주유소,서울 노원구 광운로 95 (월계동),1398.0,N,GS칼텍스,노원구
428,한신주유소,서울 노원구 동일로 1089 (공릉동),1398.0,N,SK에너지,노원구
429,불암주유소,서울특별시 노원구  한글비석로 268 (중계동),1413.0,Y,S-OIL,노원구
