광역시도,시도,20~39세계,20~39세남자,20~39세여자,65세 이상계,65세 이상남자,65세 이상여자,인구수계,인구수남자,인구수여자,소멸 비율,소멸 위기 지역
대구, 북구,113047,58645,54402,56992,24436,32556,425333,210525,214808,0.9545550252667041,False
대구, 서구,39397,21378,18019,34817,14890,19927,167446,83008,84438,0.5175345377258236,False
대구, 수성구,88787,44007,44780,60804,26184,34620,405234,195256,209978,0.7364647062693244,False
대구, 중구,21428,10513,10915,14236,5913,8323,72483,34690,37793,0.7667181792638381,False
대전, 대덕구,43677,23109,20568,24547,10882,13665,170822,85844,84978,0.8379027987126736,False
대전, 동구,59947,31476,28471,37784,16694,21090,221955,111143,110812,0.7535200084691933,False
대전, 서구,134767,67012,67755,54211,24315,29896,463747,226805,236942,1.2498385936433565,False
대전, 유성구,103746,54201,49545,29084,13142,15942,336354,170005,166349,1.7035139595653968,False
대전, 중구,54807,27338,27469,41168,18122,23046,227181,110975,116206,0.6672415468324913,False
부산, 강서구,35490,17864,17626,13407,6272,7135,120451,61117,59334,1.314686357872753,False
부산, 금정구,59601,31057,28544,43238,19179,24059,228110,111149,116961,0.6601600444053841,False
부산, 기장군,37473,18592,18881,22967,9865,13102,154532,75833,78699,0.822092567596987,False
부산, 남구,65648,33356,32292,48766,21543,27223,262984,127898,135086,0.662182668252471,False
부산, 동구,18886,9723,9163,20349,8542,11807,81089,39342,41747,0.4502923976608187,True
부산, 동래구,61364,30658,30706,43883,19835,24048,254552,123015,131537,0.6997242668003555,False
부산, 부산진구,93807,46027,47780,62545,27308,35237,339223,162539,176684,0.7639299704212966,False
부산, 북구,69489,35543,33946,42923,19248,23675,276503,135427,141076,0.7908580481327028,False
부산, 사상구,54928,28566,26362,33971,15348,18623,209051,104170,104881,0.7760148361838038,False
부산, 사하구,77401,40135,37266,51920,23347,28573,304746,150249,154497,0.7177580893682589,False
부산, 서구,23642,11740,11902,23618,10079,13539,100101,48104,51997,0.5039376746549242,False
부산, 수영구,44258,21608,22650,33380,14781,18599,164784,77880,86904,0.6785500299580587,False
부산, 연제구,50757,24952,25805,35307,15782,19525,197985,94732,103253,0.7308748973291416,False
부산, 영도구,22954,12337,10617,27636,11825,15811,109458,53656,55802,0.3841728180633956,True
부산, 중구,9289,4831,4458,9567,4061,5506,38566,18759,19807,0.46597679523361557,True
부산, 해운대구,88245,43106,45139,61986,27104,34882,379986,181834,198152,0.7282128222501856,False
서울, 강남구,140926,63996,76930,65713,29965,35748,493492,234001,259491,1.1706968179812214,False
서울, 강동구,114312,55997,58315,59133,27239,31894,403443,196902,206541,0.9861667765883686,False
서울, 강북구,78369,38730,39639,56516,24425,32091,294143,141759,152384,0.7013766013164414,False
서울, 강서구,177038,84638,92400,79180,35319,43861,559359,268057,291302,1.1669613538772416,False
서울, 관악구,186005,94628,91377,70663,31721,38942,472796,234870,237926,1.2931378514922944,False
서울, 광진구,113351,53872,59479,44612,20123,24489,331747,159187,172560,1.333251143190173,False
서울, 구로구,112888,55180,57708,61715,28397,33318,386239,188979,197260,0.9350725107348294,False
서울, 금천구,67481,35150,32331,34691,15868,18823,219896,110152,109744,0.9319708281686893,False
서울, 노원구,131084,64427,66657,76136,32338,43798,504967,241951,263016,0.8754991068614059,False
서울, 도봉구,81619,40253,41366,55474,25064,30410,315032,152106,162926,0.7456826621480334,False
서울, 동대문구,103780,51942,51838,54777,24324,30453,327897,160582,167315,0.9463460941636088,False
서울, 동작구,123540,60304,63236,58255,25648,32607,374478,180291,194187,1.0855033902669298,False
서울, 마포구,118571,54071,64500,47926,20279,27647,348755,163126,185629,1.3458248132537662,False
서울, 서대문구,90833,42863,47970,47748,20369,27379,291958,137971,153987,1.0046494093993465,False
서울, 서초구,108033,49316,58717,52440,24068,28372,391520,185921,205599,1.119698703279939,False
서울, 성동구,91871,44558,47313,40757,17886,22871,283330,137125,146205,1.1608558039109846,False
서울, 성북구,123727,59148,64579,65389,28490,36899,418403,200642,217761,0.987612595390662,False
서울, 송파구,190322,89124,101198,81962,38178,43784,629275,301491,327784,1.2346941265464484,False
서울, 양천구,108836,52694,56142,57720,26110,31610,429819,208741,221078,0.9726611226611227,False
서울, 영등포구,113318,55031,58287,52455,23732,28723,341509,167114,174395,1.111181012296254,False
서울, 용산구,64265,30377,33888,32923,14128,18795,204196,97390,106806,1.0293108161467668,False
서울, 은평구,124564,59492,65072,74710,32511,42199,447693,213158,234535,0.8709945121135055,False
서울, 종로구,40758,19801,20957,23700,10452,13248,136649,65594,71055,0.8842616033755274,False
서울, 중구,37325,17998,19327,19765,8614,11151,115665,55820,59845,0.9778396154819124,False
서울, 중랑구,108476,53892,54584,61294,27655,33639,374640,183357,191283,0.8905276209743205,False
세종, 세종시,93067,45339,47728,29227,12797,16430,321495,159457,162038,1.6330105724159167,False
울산, 남구,82578,43837,38741,34419,16055,18364,307294,155232,152062,1.1255701792614545,False
울산, 동구,39771,21279,18492,17097,8341,8756,151207,77870,73337,1.0815932619757853,False
울산, 북구,57905,29875,28030,15219,6827,8392,205269,104664,100605,1.8417767264603455,False
울산, 울주군,48404,25766,22638,27838,12364,15474,207367,105698,101669,0.8132049716215245,False
울산, 중구,52459,27580,24879,29334,13355,15979,212450,106869,105581,0.8481284516260994,False
인천, 강화군,9079,4814,4265,19402,8937,10465,60622,30141,30481,0.2198226986908566,True
인천, 계양구,79401,39749,39652,32634,14413,18221,288422,141983,146439,1.2150517864803578,False
인천, 남동구,139243,69533,69710,62739,27509,35230,508503,250015,258488,1.1111111111111112,False
인천, 동구,13526,6977,6549,12858,5470,7388,60791,30224,30567,0.5093327111525898,False
인천, 미추홀구,110480,57892,52588,62042,27162,34880,391216,195241,195975,0.847619354630734,False
인천, 부평구,136229,68092,68137,65451,28574,36877,487471,238604,248867,1.0410383340208706,False
인천, 서구,144517,72020,72497,49718,22258,27460,515884,257587,258297,1.4581640452150126,False
인천, 연수구,95482,46737,48745,32424,14446,17978,345349,170243,175106,1.5033617073772514,False
인천, 옹진군,3675,2384,1291,4623,2130,2493,17746,9801,7945,0.27925589444083926,True
인천, 중구,35567,18303,17264,17176,7634,9542,123549,63147,60402,1.0051234280391244,False
전남, 강진군,4568,2305,2263,10775,4311,6464,30984,14729,16255,0.21002320185614848,True
전남, 고흥군,6823,3692,3131,23336,9493,13843,57330,27685,29645,0.13417038052793967,True
전남, 곡성군,3932,2159,1773,9129,3616,5513,25420,12377,13043,0.19421623397962537,True
전남, 광양시,32494,17257,15237,17573,7594,9979,136701,69766,66935,0.8670687987253173,False
전남, 구례군,3138,1609,1529,7798,3124,4674,22648,10860,11788,0.19607591690176968,True
전남, 나주시,24039,12088,11951,22275,9094,13181,102246,50367,51879,0.5365207631874298,False
전남, 담양군,6745,3535,3210,12503,5174,7329,39391,19376,20015,0.2567383827881308,True
전남, 목포시,50155,25455,24700,34227,14864,19363,217091,107238,109853,0.7216524965670377,False
전남, 무안군,16346,8459,7887,14833,6242,8591,73190,36499,36691,0.5317198139284028,False
전남, 보성군,4721,2486,2235,13817,5536,8281,35928,17253,18675,0.1617572555547514,True
전남, 순천시,62033,31329,30704,38896,16920,21976,258508,127392,131116,0.7893870835047305,False
전남, 신안군,4625,2732,1893,12414,5198,7216,33248,17302,15946,0.152489125181247,True
전남, 여수시,57128,30816,26312,47866,21149,26717,257459,129856,127603,0.5497012493210212,False
전남, 영광군,8339,4318,4021,13560,5568,7992,46722,22997,23725,0.2965339233038348,True
전남, 영암군,9127,4963,4164,12694,5097,7597,49208,25034,24174,0.32802899007405073,True
전남, 완도군,6845,3818,3027,14341,6087,8254,44786,22541,22245,0.21107314692141413,True
전남, 장성군,6561,3395,3166,11511,4685,6826,38235,18789,19446,0.2750412648770741,True
전남, 장흥군,5138,2678,2460,11638,4621,7017,34009,16311,17698,0.2113765251761471,True
