,광역시도,시도,20~39세계,20~39세여자,65세 이상계,인구수계,인구수남자,인구수여자,소멸 비율,소멸 위기 지역,ID
123,부산, 해운대구,88245,45139,61986,379986,181834,198152,0.7282128222501856,False,부산 해운대
124,서울, 강남구,140926,76930,65713,493492,234001,259491,1.1706968179812214,False,서울 강남
125,서울, 강동구,114312,58315,59133,403443,196902,206541,0.9861667765883686,False,서울 강동
126,서울, 강북구,78369,39639,56516,294143,141759,152384,0.7013766013164414,False,서울 강북
127,서울, 강서구,177038,92400,79180,559359,268057,291302,1.1669613538772416,False,서울 강서
128,서울, 관악구,186005,91377,70663,472796,234870,237926,1.2931378514922944,False,서울 관악
129,서울, 광진구,113351,59479,44612,331747,159187,172560,1.333251143190173,False,서울 광진
130,서울, 구로구,112888,57708,61715,386239,188979,197260,0.9350725107348294,False,서울 구로
131,서울, 금천구,67481,32331,34691,219896,110152,109744,0.9319708281686891,False,서울 금천
132,서울, 노원구,131084,66657,76136,504967,241951,263016,0.8754991068614059,False,서울 노원
133,서울, 도봉구,81619,41366,55474,315032,152106,162926,0.7456826621480334,False,서울 도봉
134,서울, 동대문구,103780,51838,54777,327897,160582,167315,0.9463460941636088,False,서울 동대문
135,서울, 동작구,123540,63236,58255,374478,180291,194187,1.0855033902669298,False,서울 동작
136,서울, 마포구,118571,64500,47926,348755,163126,185629,1.3458248132537662,False,서울 마포
137,서울, 서대문구,90833,47970,47748,291958,137971,153987,1.0046494093993463,False,서울 서대문
138,서울, 서초구,108033,58717,52440,391520,185921,205599,1.119698703279939,False,서울 서초
139,서울, 성동구,91871,47313,40757,283330,137125,146205,1.1608558039109846,False,서울 성동
140,서울, 성북구,123727,64579,65389,418403,200642,217761,0.9876125953906619,False,서울 성북
141,서울, 송파구,190322,101198,81962,629275,301491,327784,1.2346941265464484,False,서울 송파
142,서울, 양천구,108836,56142,57720,429819,208741,221078,0.9726611226611228,False,서울 양천
143,서울, 영등포구,113318,58287,52455,341509,167114,174395,1.1111810122962542,False,서울 영등포
144,서울, 용산구,64265,33888,32923,204196,97390,106806,1.0293108161467668,False,서울 용산
145,서울, 은평구,124564,65072,74710,447693,213158,234535,0.8709945121135055,False,서울 은평
146,서울, 종로구,40758,20957,23700,136649,65594,71055,0.8842616033755274,False,서울 종로
147,서울, 중구,37325,19327,19765,115665,55820,59845,0.9778396154819124,False,서울 중구
148,서울, 중랑구,108476,54584,61294,374640,183357,191283,0.8905276209743205,False,서울 중랑
149,세종, 세종시,93067,47728,29227,321495,159457,162038,1.6330105724159167,False,세종
150,울산, 남구,82578,38741,34419,307294,155232,152062,1.1255701792614543,False,울산 남구
151,울산, 동구,39771,18492,17097,151207,77870,73337,1.081593261975785,False,울산 동구
152,울산, 북구,57905,28030,15219,205269,104664,100605,1.8417767264603453,False,울산 북구
153,울산, 울주군,48404,22638,27838,207367,105698,101669,0.8132049716215245,False,울산 울주
154,울산, 중구,52459,24879,29334,212450,106869,105581,0.8481284516260994,False,울산 중구
155,인천, 강화군,9079,4265,19402,60622,30141,30481,0.2198226986908566,True,인천 강화
156,인천, 계양구,79401,39652,32634,288422,141983,146439,1.2150517864803578,False,인천 계양
157,인천, 남동구,139243,69710,62739,508503,250015,258488,1.1111111111111112,False,인천 남동
158,인천, 동구,13526,6549,12858,60791,30224,30567,0.5093327111525898,False,인천 동구
159,인천, 미추홀구,110480,52588,62042,391216,195241,195975,0.847619354630734,False,인천 미추홀
160,인천, 부평구,136229,68137,65451,487471,238604,248867,1.0410383340208706,False,인천 부평
161,인천, 서구,144517,72497,49718,515884,257587,258297,1.4581640452150126,False,인천 서구
162,인천, 연수구,95482,48745,32424,345349,170243,175106,1.5033617073772514,False,인천 연수
163,인천, 옹진군,3675,1291,4623,17746,9801,7945,0.2792558944408393,True,인천 옹진
164,인천, 중구,35567,17264,17176,123549,63147,60402,1.0051234280391244,False,인천 중구
165,전남, 강진군,4568,2263,10775,30984,14729,16255,0.21002320185614848,True,강진
166,전남, 고흥군,6823,3131,23336,57330,27685,29645,0.13417038052793967,True,고흥
167,전남, 곡성군,3932,1773,9129,25420,12377,13043,0.19421623397962534,True,곡성
168,전남, 광양시,32494,15237,17573,136701,69766,66935,0.8670687987253173,False,광양
169,전남, 구례군,3138,1529,7798,22648,10860,11788,0.19607591690176968,True,구례
170,전남, 나주시,24039,11951,22275,102246,50367,51879,0.5365207631874298,False,나주
171,전남, 담양군,6745,3210,12503,39391,19376,20015,0.2567383827881308,True,담양
172,전남, 목포시,50155,24700,34227,217091,107238,109853,0.7216524965670377,False,목포
173,전남, 무안군,16346,7887,14833,73190,36499,36691,0.5317198139284028,False,무안
174,전남, 보성군,4721,2235,13817,35928,17253,18675,0.1617572555547514,True,보성
175,전남, 순천시,62033,30704,38896,258508,127392,131116,0.7893870835047305,False,순천
176,전남, 신안군,4625,1893,12414,33248,17302,15946,0.15248912518124697,True,신안
177,전남, 여수시,57128,26312,47866,257459,129856,127603,0.5497012493210212,False,여수
178,전남, 영광군,8339,4021,13560,46722,22997,23725,0.2965339233038348,True,영광
179,전남, 영암군,9127,4164,12694,49208,25034,24174,0.32802899007405073,True,영암
180,전남, 완도군,6845,3027,14341,44786,22541,22245,0.21107314692141413,True,완도
181,전남, 장성군,6561,3166,11511,38235,18789,19446,0.2750412648770741,True,장성
182,전남, 장흥군,5138,2460,11638,34009,16311,17698,0.2113765251761471,True,장흥
183,전남, 진도군,3887,1739,9188,26956,13233,13723,0.1892686112320418,True,진도
184,전남, 함평군,3847,1728,10199,27888,13806,14082,0.1694283753309148,True,함평
185,전남, 해남군,9221,4520,19832,61147,29830,31317,0.2279144816458249,True,해남
186,전남, 화순군,9692,4837,14657,55338,26670,28668,0.3300129630893089,True,화순
187,전북, 고창군,7410,3451,16964,49705,24257,25448,0.20343079462390945,True,고창
188,전북, 군산시,58341,28080,44223,253097,126535,126562,0.6349637066684757,False,군산
189,전북, 김제시,12643,6020,23275,75211,36619,38592,0.2586466165413534,True,김제
190,전북, 남원시,12442,6092,20231,73845,35836,38009,0.30112204043299884,True,남원
191,전북, 무주군,3071,1449,7291,21857,10779,11078,0.1987381703470032,True,무주
192,전북, 부안군,7273,3412,15492,47159,23144,24015,0.22024270591272915,True,부안
193,전북, 순창군,3732,1942,8467,25304,12130,13174,0.2293610487776072,True,순창
194,전북, 완주군,19047,9093,18469,86410,43862,42548,0.4923385131842547,True,완주
195,전북, 익산시,64767,30694,49006,270779,134541,136238,0.6263314696159654,False,익산
196,전북, 임실군,4078,1953,8782,25064,12476,12588,0.2223867000683216,True,임실
197,전북, 장수군,2972,1422,6777,20084,9869,10215,0.2098273572377158,True,장수
198,전북, 전주시,329916,164232,176476,1256024,615044,640980,0.930619461003196,False,전주
199,전북, 정읍시,17454,8352,27007,99749,49037,50712,0.3092531565890325,True,정읍
200,전북, 진안군,3123,1561,7722,22048,10926,11122,0.20214970214970213,True,진안
201,제주, 서귀포시,34640,17328,31129,164899,82173,82726,0.5566513540428539,False,서귀포
202,제주, 제주시,114518,57292,61965,458548,227688,230860,0.9245864600984428,False,제주
203,충남, 계룡시,8354,4111,4456,40062,19798,20264,0.9225763016157991,False,계룡
204,충남, 공주시,21079,10077,24031,98934,49143,49791,0.41933336107527774,True,공주
205,충남, 금산군,8222,3745,14314,48333,24142,24191,0.2616319687019701,True,금산
206,충남, 논산시,21283,10059,27347,109021,53875,55146,0.3678282809814605,True,논산
207,충남, 당진시,37981,16874,27802,156610,81970,74640,0.6069347528954752,False,당진
208,충남, 보령시,17433,7920,23385,93070,46468,46602,0.33867864015394483,True,보령
209,충남, 부여군,9004,4129,20327,60848,29958,30890,0.20312884341024254,True,부여
210,충남, 서산시,37824,17285,29258,163658,83783,79875,0.5907785904709822,False,서산
211,충남, 서천군,6788,3017,17125,48065,23558,24507,0.17617518248175182,True,서천
212,충남, 아산시,82081,39132,37285,298717,152655,146062,1.0495373474587637,False,아산
213,충남, 예산군,12312,5622,22163,73032,36332,36700,0.2536660199431485,True,예산
214,충남, 천안시,386522,188942,126210,1253306,630630,622676,1.4970446081926947,False,천안
215,충남, 청양군,4356,1929,10023,28735,14435,14300,0.19245734809937146,True,청양
216,충남, 태안군,9463,4122,17252,57081,28668,28413,0.23892881984697426,True,태안
217,충남, 홍성군,19959,9656,21525,94962,46923,48039,0.4485946573751452,True,홍성
218,충북, 괴산군,5135,2159,11428,34160,17360,16800,0.18892194609730487,True,괴산
219,충북, 단양군,3842,1746,7955,26478,13293,13185,0.21948460087994973,True,단양
220,충북, 보은군,4288,1949,10025,29945,14864,15081,0.1944139650872818,True,보은
221,충북, 영동군,7450,3394,13433,44563,22177,22386,0.2526613563612,True,영동
222,충북, 옥천군,7557,3530,13177,46182,22957,23225,0.26789102223571376,True,옥천
223,충북, 음성군,18696,8489,16864,85751,44540,41211,0.503379981024668,False,음성
224,충북, 제천시,26688,12484,26116,126666,63363,63303,0.4780211364680656,True,제천
225,충북, 증평군,9059,4087,5720,35464,18166,17298,0.7145104895104896,False,증평
226,충북, 진천군,18978,8623,12143,76197,39378,36819,0.7101210573993247,False,진천
227,충북, 청주시,452216,216148,200594,1605048,801804,803244,1.077539707070002,False,청주
228,충북, 충주시,47183,21483,37574,201057,101311,99746,0.5717517432266993,False,충주
